,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,refseq,symbol,product
383,BLLJ_RS01990,75.59674752,1.403535023,0.160440653,8.748001203,2.17E-18,2.58E-17,WP_012578344.1,WP_012578344.1,alpha/beta hydrolase
1858,BLLJ_RS09620,736.2779355,1.39857368,0.112585626,12.42231116,1.98E-35,4.71E-34,WP_015713932.1,WP_015713932.1,YhgE/Pip domain-containing protein
393,BLLJ_RS02040,1084.299444,1.397730666,0.133874782,10.44058218,1.62E-25,2.71E-24,WP_007051329.1,WP_007051329.1,quinone-dependent dihydroorotate dehydrogenase
237,BLLJ_RS01230,455.3859149,1.395751856,0.101432821,13.76035724,4.41E-43,1.35E-41,WP_013582355.1,WP_013582355.1,hypothetical protein
312,BLLJ_RS01625,62.71704015,1.39568861,0.191869046,7.274172888,3.49E-13,3.03E-12,WP_012576819.1,WP_012576819.1,type II toxin-antitoxin system VapC family toxin
54,BLLJ_RS00280,676.5041281,1.38684477,0.105746384,13.11481985,2.71E-39,7.06E-38,WP_011068569.1,WP_011068569.1,class E sortase
187,BLLJ_RS00965,103.9169577,1.376544408,0.167971675,8.195098438,2.50E-16,2.64E-15,WP_007056315.1,WP_007056315.1,YhgE/Pip domain-containing protein
1075,BLLJ_RS05565,760.4871731,1.36915852,0.090958297,15.0525962,3.32E-51,1.39E-49,WP_007052861.1,sucC,ADP-forming succinate--CoA ligase subunit beta
1568,BLLJ_RS08120,1152.814011,1.364705956,0.096856412,14.08999077,4.38E-45,1.53E-43,WP_013410668.1,WP_013410668.1,DUF3180 domain-containing protein
1346,BLLJ_RS06990,1578.302337,1.356819766,0.078886049,17.19974287,2.67E-66,1.71E-64,WP_015713755.1,WP_015713755.1,zinc-dependent metalloprotease
1857,BLLJ_RS09615,870.6237992,1.350414561,0.080050545,16.86952362,7.54E-64,4.54E-62,WP_007052972.1,WP_007052972.1,YhgE/Pip domain-containing protein
1391,BLLJ_RS07215,1419.487474,1.318258419,0.092154141,14.30492868,2.04E-46,7.71E-45,WP_013582850.1,WP_013582850.1,tetratricopeptide repeat protein
1556,BLLJ_RS08055,674.7603703,1.30884715,0.099291916,13.18180973,1.12E-39,3.03E-38,WP_013582903.1,WP_013582903.1,aldo/keto reductase
1318,BLLJ_RS06850,304.0868928,1.30882575,0.137169914,9.541638613,1.41E-21,2.01E-20,WP_003830366.1,WP_003830366.1,YggT family protein
400,BLLJ_RS02075,125.5350605,1.30519832,0.142516954,9.158196857,5.28E-20,6.87E-19,WP_007058192.1,WP_007058192.1,A/G-specific adenine glycosylase
1147,BLLJ_RS05965,7433.325327,1.300456233,0.135504514,9.597143273,8.22E-22,1.18E-20,WP_014483682.1,WP_014483682.1,pyridoxamine 5'-phosphate oxidase family protein
899,BLLJ_RS11030,1.674958692,1.29835746,1.028979397,1.261791503,0.20702382,0.284882885,NA,NA,hypothetical protein
1770,BLLJ_RS09180,1023.365366,1.26962227,0.089173081,14.23773022,5.34E-46,1.94E-44,WP_012472123.1,WP_012472123.1,hypothetical protein
1873,BLLJ_RS09715,799.7776921,1.250582743,0.090714824,13.78586966,3.10E-43,9.80E-42,WP_012472087.1,WP_012472087.1,extracellular solute-binding protein
1358,BLLJ_RS07050,9.790248524,1.244868831,0.40710681,3.057843298,0.002229361,0.005489411,WP_007054035.1,WP_007054035.1,hypothetical protein
1872,BLLJ_RS10765,268.2492182,1.220610377,0.104907529,11.63510744,2.73E-31,5.49E-30,WP_007054610.1,WP_007054610.1,DUF2961 domain-containing protein
683,BLLJ_RS03530,136.2056785,1.211547992,0.122802496,9.865825463,5.86E-23,8.96E-22,WP_012578000.1,WP_012578000.1,DNA-protecting protein DprA
313,BLLJ_RS01630,43.65991403,1.206162726,0.212728941,5.669951248,1.43E-08,8.74E-08,WP_007054812.1,WP_007054812.1,Arc family DNA-binding protein
1607,BLLJ_RS08335,409.7161712,1.201650992,0.152684291,7.870167803,3.54E-15,3.52E-14,WP_010081652.1,WP_010081652.1,hypothetical protein
1501,BLLJ_RS07770,2487.598522,1.200875942,0.090727156,13.23612454,5.43E-40,1.52E-38,WP_008783327.1,WP_008783327.1,acyl-CoA dehydratase activase-related protein
1512,BLLJ_RS07825,513.4184504,1.192924814,0.098596804,12.09902111,1.07E-33,2.42E-32,WP_012577005.1,WP_012577005.1,endonuclease/exonuclease/phosphatase family protein
1435,BLLJ_RS07440,3927.640818,1.185759055,0.13884133,8.540389609,1.34E-17,1.52E-16,WP_007053195.1,WP_007053195.1,universal stress protein
186,BLLJ_RS00960,98.20758519,1.185537954,0.147276198,8.049759345,8.30E-16,8.51E-15,WP_007054716.1,WP_007054716.1,YhgE/Pip domain-containing protein
1073,BLLJ_RS05555,257.4504398,1.185358297,0.167931145,7.058597113,1.68E-12,1.39E-11,WP_008783525.1,WP_008783525.1,DUF6350 family protein
1547,BLLJ_RS08010,727.2136449,1.17470321,0.098574609,11.91689447,9.66E-33,2.07E-31,WP_013141211.1,WP_013141211.1,hypothetical protein
1241,BLLJ_RS06435,345.9257154,1.172473688,0.125644491,9.331676039,1.04E-20,1.41E-19,WP_013410747.1,WP_013410747.1,GNAT family N-acetyltransferase
275,BLLJ_RS01425,1379.223947,1.165150775,0.122808,9.48758043,2.36E-21,3.30E-20,WP_007051458.1,WP_007051458.1,DUF2974 domain-containing protein
1916,BLLJ_RS11495,181.212629,1.165050686,0.122967037,9.474495893,2.68E-21,3.72E-20,WP_015451351.1,WP_015451351.1,NUDIX hydrolase
1608,BLLJ_RS10605,1320.83921,1.158368977,0.14784141,7.835213248,4.68E-15,4.58E-14,WP_012578430.1,WP_012578430.1,PspC domain-containing protein
1191,BLLJ_RS06190,4874.246381,1.152331696,0.107801949,10.68934008,1.14E-26,2.06E-25,WP_007058608.1,WP_007058608.1,Bax inhibitor-1/YccA family protein
1678,BLLJ_RS08685,442.7036061,1.142561002,0.103067113,11.08560205,1.47E-28,2.79E-27,WP_011068741.1,WP_011068741.1,ROK family transcriptional regulator
1571,BLLJ_RS08135,156.8417418,1.142404646,0.14555219,7.848762994,4.20E-15,4.13E-14,WP_007052379.1,folE,GTP cyclohydrolase I FolE
636,BLLJ_RS03270,628.4824153,1.142233396,0.098366288,11.61204123,3.58E-31,7.12E-30,WP_013410991.1,WP_013410991.1,NUDIX hydrolase
438,BLLJ_RS02260,1748.508283,1.136254544,0.085628951,13.26951375,3.48E-40,9.86E-39,WP_016462319.1,WP_016462319.1,sugar ABC transporter permease
53,BLLJ_RS00275,746.4921905,1.135202537,0.110990528,10.2279227,1.49E-24,2.43E-23,WP_013139984.1,WP_013139984.1,DUF881 domain-containing protein
1168,BLLJ_RS06070,2377.950345,1.134415486,0.086941793,13.04798817,6.52E-39,1.68E-37,WP_007055162.1,WP_007055162.1,RNA polymerase sigma factor
604,BLLJ_RS03100,1907.617674,1.129899574,0.097100324,11.63641403,2.69E-31,5.46E-30,WP_003831219.1,WP_003831219.1,transcription elongation factor GreA
1888,BLLJ_RS09790,2006.822196,1.124315324,0.134472002,8.360962194,6.22E-17,6.81E-16,WP_013410521.1,WP_013410521.1,cation-translocating P-type ATPase
1240,BLLJ_RS06430,887.7674931,1.120170916,0.081267557,13.78374044,3.19E-43,9.93E-42,WP_007054433.1,WP_007054433.1,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
1098,BLLJ_RS05705,2308.449301,1.11888794,0.150601553,7.429458189,1.09E-13,9.78E-13,WP_009994743.1,WP_009994743.1,phosphoglycerate kinase
505,BLLJ_RS02595,373.7317154,1.109376363,0.087534809,12.67354531,8.29E-37,2.05E-35,WP_007053649.1,purT,formate-dependent phosphoribosylglycinamide formyltransferase
191,BLLJ_RS00985,385.5515908,1.101678265,0.097849953,11.2588533,2.09E-29,4.00E-28,WP_013140133.1,WP_013140133.1,glucose-6-phosphate dehydrogenase assembly protein OpcA
1167,BLLJ_RS06065,525.7634307,1.090776976,0.128964167,8.457984879,2.72E-17,3.03E-16,WP_008783099.1,WP_008783099.1,type IIA DNA topoisomerase subunit B
1882,BLLJ_RS09760,630.0253997,1.089606178,0.082900311,13.14357157,1.85E-39,4.89E-38,WP_019727606.1,WP_019727606.1,sodium:proton antiporter
429,BLLJ_RS02220,2683.275727,1.085912302,0.126048721,8.615020393,6.99E-18,8.03E-17,WP_003828480.1,smpB,SsrA-binding protein SmpB
1146,BLLJ_RS05960,485.7246121,1.079574732,0.099413575,10.85942971,1.80E-27,3.30E-26,WP_015512166.1,WP_015512166.1,DNA methyltransferase
1097,BLLJ_RS05700,252.3122052,1.068386785,0.122461069,8.724297387,2.68E-18,3.17E-17,WP_007052784.1,tpiA,triose-phosphate isomerase
526,BLLJ_RS02700,158.6569317,1.066044824,0.140996265,7.560801875,4.01E-14,3.75E-13,WP_013140438.1,WP_013140438.1,MATE family efflux transporter
709,BLLJ_RS03665,333.5146744,1.064132218,0.087618925,12.1450043,6.10E-34,1.40E-32,WP_007057983.1,WP_007057983.1,alpha-amylase family protein
1569,BLLJ_RS08125,332.0407298,1.052913374,0.161759172,6.509141707,7.56E-11,5.48E-10,WP_007057760.1,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
382,BLLJ_RS01985,347.8905797,1.047289192,0.10431242,10.03992802,1.02E-23,1.62E-22,WP_013582403.1,WP_013582403.1,NUDIX hydrolase family protein
380,BLLJ_RS01975,946.7028276,1.044425313,0.11810787,8.842978151,9.32E-19,1.13E-17,WP_011068358.1,WP_011068358.1,G5 domain-containing protein
1174,BLLJ_RS10945,39.36832641,1.044001633,0.2214287,4.714843339,2.42E-06,1.09E-05,WP_010080764.1,WP_010080764.1,hypothetical protein
439,BLLJ_RS02265,1065.771201,1.036919237,0.115884612,8.947859582,3.62E-19,4.54E-18,WP_014485871.1,WP_014485871.1,carbohydrate ABC transporter permease
1128,BLLJ_RS05855,3343.261038,1.025458441,0.105882203,9.684898985,3.50E-22,5.14E-21,WP_012471850.1,WP_012471850.1,AMP-dependent synthetase/ligase
1363,BLLJ_RS07075,405.1978053,1.025098134,0.121537108,8.43444568,3.33E-17,3.69E-16,WP_015713760.1,WP_015713760.1,amino acid ABC transporter ATP-binding protein
1463,BLLJ_RS07585,208.0055079,1.021586121,0.113650341,8.98885227,2.50E-19,3.15E-18,WP_013141138.1,arc,proteasome ATPase
1225,BLLJ_RS06360,1269.060772,1.008761591,0.098588071,10.2320857,1.42E-24,2.35E-23,WP_007054447.1,WP_007054447.1,ABC transporter ATP-binding protein/permease
592,BLLJ_RS03035,6083.160712,1.005012064,0.07543945,13.32210222,1.72E-40,4.95E-39,WP_013582480.1,WP_013582480.1,UPF0182 family protein
94,BLLJ_RS00485,1891.367275,0.997660402,0.104661512,9.532256712,1.54E-21,2.18E-20,WP_013410454.1,htpX,zinc metalloprotease HtpX
1366,BLLJ_RS07090,260.1286791,0.997254828,0.104988558,9.498700156,2.13E-21,2.99E-20,WP_007056242.1,WP_007056242.1,dienelactone hydrolase family protein
1239,BLLJ_RS06425,434.0253776,0.996221343,0.112131676,8.884388232,6.43E-19,7.89E-18,WP_007052581.1,WP_007052581.1,sigma-70 family RNA polymerase sigma factor
384,BLLJ_RS01995,113.6234905,0.984307948,0.139099226,7.076300708,1.48E-12,1.24E-11,WP_015713348.1,nudC,NAD(+) diphosphatase
1832,BLLJ_RS09490,79.16074919,0.976965113,0.238331814,4.099180443,4.15E-05,0.000149977,WP_007052942.1,WP_007052942.1,MarR family transcriptional regulator
1365,BLLJ_RS07085,465.1058657,0.975014949,0.118822519,8.205641151,2.29E-16,2.43E-15,WP_013410411.1,WP_013410411.1,amino acid ABC transporter permease
610,BLLJ_RS11375,1357.178156,0.974078334,0.068334322,14.25459867,4.20E-46,1.56E-44,WP_012578069.1,WP_012578069.1,LCP family protein
1917,BLLJ_RS09945,798.8128815,0.972889031,0.127811355,7.611913924,2.70E-14,2.59E-13,WP_015512567.1,WP_015512567.1,DUF6049 family protein
1203,BLLJ_RS06250,207.2001929,0.972306889,0.128453822,7.569310696,3.75E-14,3.53E-13,WP_014485550.1,WP_014485550.1,DUF3159 domain-containing protein
1345,BLLJ_RS06985,345.4594184,0.958044434,0.087398387,10.96180915,5.83E-28,1.08E-26,WP_007058707.1,WP_007058707.1,Lon protease
1899,BLLJ_RS09845,476.5917728,0.956838698,0.089736838,10.66271916,1.52E-26,2.71E-25,WP_014486019.1,WP_014486019.1,glycosyltransferase family 2 protein
1397,BLLJ_RS07245,2049.627706,0.955262293,0.110316324,8.659301359,4.75E-18,5.48E-17,WP_010081312.1,WP_010081312.1,nitroreductase
1778,BLLJ_RS09215,475.817265,0.95412567,0.12647128,7.544208187,4.55E-14,4.23E-13,WP_007057474.1,WP_007057474.1,putative DNA binding domain-containing protein
1104,BLLJ_RS05735,66.23115362,0.950098295,0.179513823,5.292619129,1.21E-07,6.42E-07,WP_007052776.1,WP_007052776.1,hypothetical protein
680,BLLJ_RS03515,161.140413,0.940833509,0.109620003,8.582680905,9.27E-18,1.06E-16,WP_016463155.1,WP_016463155.1,class I SAM-dependent methyltransferase
752,BLLJ_RS03880,432.2948797,0.931129181,0.126946566,7.334811904,2.22E-13,1.97E-12,WP_008782973.1,WP_008782973.1,metal-sulfur cluster assembly factor
1551,BLLJ_RS08030,435.5674389,0.929320097,0.110918947,8.378371107,5.37E-17,5.91E-16,WP_007053874.1,xylA,xylose isomerase
484,BLLJ_RS02490,1740.494913,0.925132248,0.074919328,12.34837882,4.97E-35,1.15E-33,WP_016462349.1,WP_016462349.1,LTA synthase family protein
192,BLLJ_RS00990,236.7596497,0.924844626,0.098518077,9.387562698,6.14E-21,8.34E-20,WP_012576659.1,zwf,glucose-6-phosphate dehydrogenase
1196,BLLJ_RS06215,1624.378871,0.917488325,0.093970357,9.763593049,1.61E-22,2.43E-21,WP_011068031.1,WP_011068031.1,DUF262 domain-containing protein
1828,BLLJ_RS09470,1384.431573,0.91368774,0.144651473,6.316477279,2.68E-10,1.87E-09,WP_011068650.1,WP_011068650.1,MFS transporter
1298,BLLJ_RS06725,5760.261619,0.911910282,0.104581312,8.719629369,2.79E-18,3.28E-17,WP_012577196.1,WP_012577196.1,aldo/keto reductase
693,BLLJ_RS03580,431.8864602,0.910963172,0.124434427,7.320829079,2.46E-13,2.17E-12,WP_003808788.1,proC,pyrroline-5-carboxylate reductase
189,BLLJ_RS00975,1502.774963,0.904350151,0.075694487,11.9473715,6.70E-33,1.45E-31,WP_007051573.1,gndA,NADP-dependent phosphogluconate dehydrogenase
1242,BLLJ_RS06440,304.1029597,0.902032968,0.140074648,6.439659018,1.20E-10,8.55E-10,WP_013410746.1,smc,chromosome segregation protein SMC
811,BLLJ_RS04165,838.6680536,0.892671575,0.118331717,7.543806524,4.56E-14,4.23E-13,WP_014485672.1,WP_014485672.1,aldo/keto reductase
